id,SystemMoon,system,constellation,region,Ore1,p1,harvest1_rarity,H1Worth,Ore2,p2,harvest2_rarity,H2Worth,Ore3,p3,harvest3_rarity,H3Worth,Ore4,p4,harvest4_rarity,H4Worth, MoonWorth, Rent,Towered,Available,Owner,Ticker,Paid
40179888,A-YB15 X - Moon 21,A-YB15,2O-VY7,The Kalevala Expanse,Bitumens,0.20,ubiquitous,2370630313,Otavite,0.41,uncommon,8288776742,Vanadinite,0.19,uncommon,2736652262,Zeolites,0.20,ubiquitous,1792632146,4068399499,440000000,Yes,No,Mike Jag (IO.),IO.,01-Aug
40182936,5-VFC6 IX - Moon 12,5-VFC6,2Q-8WA,The Kalevala Expanse,Chromite,0.32,uncommon,5692358246,Euxenite,0.08,common,514573516.8,Sylvite,0.34,ubiquitous,3178800382,Vanadinite,0.26,uncommon,3744892570,3517131620,380000000,Yes,Yes,,,
40183115,IUU3-L II - Moon 11,IUU3-L,2Q-8WA,The Kalevala Expanse,Coesite,0.35,ubiquitous,4501511240,Sperrylite,0.45,uncommon,10146886848,Zeolites,0.20,ubiquitous,1792632146,,,,,4403847384,410000000,Yes,No,Muraku Butler(ONCBN),ONCBN,01-Aug
40180429,EPCD-D IV - Moon 4,EPCD-D,3NA-Z1,The Kalevala Expanse,Chromite,0.31,uncommon,5514472051,Euxenite,0.09,common,578895206.4,Sylvite,0.30,ubiquitous,2804823867,Vanadinite,0.29,uncommon,4176995558,3502282147,390000000,Yes,No,Marhiquen'x (IDSKQ),IDSKQ,01-Aug
40180924,HPV-RJ II - Moon 1,HPV-RJ,U-HSM3,The Kalevala Expanse,Coesite,0.17,ubiquitous,2186448316,Sperrylite,0.42,uncommon,9470427725,Zeolites,0.41,ubiquitous,3674895899,,,,,4106724627,380000000,Yes,No,Zolmaz Vol'Jin (BLSFC),KCSH,01-Aug
40182689,FB5U-I IV - Moon 1,FB5U-I,2Q-8WA,The Kalevala Expanse,Bitumens,0.18,ubiquitous,2133567282,Sperrylite,0.40,uncommon,9019454976,Sylvite,0.20,ubiquitous,1869882578,Zeolites,0.23,ubiquitous,2061526968,4040472805,360000000,Yes,No,Strunzi (KTRO),KTRO,01-Aug
40180724,O31W-6 IX - Moon 11,O31W-6,S4S-SD,The Kalevala Expanse,Bitumens,0.24,ubiquitous,2844756376,Coesite,0.18,ubiquitous,2315062923,Sperrylite,0.36,uncommon,8117509478,Vanadinite,0.22,uncommon,3168755251,4405201079,450000000,Yes,No,,,
40182239,GQ-7SP X - Moon 1,GQ-7SP,P-B2NE,The Kalevala Expanse,Chromite,0.27,uncommon,4802927270,Euxenite,0.09,common,578895206.4,Vanadinite,0.34,uncommon,4897167206,Zeolites,0.30,ubiquitous,2688948219,3473554795,390000000,Yes,Yes,,,
40179117,1-KCSA VIII - Moon 1,1-KCSA,6-CBBM,The Kalevala Expanse,Coesite,0.19,ubiquitous,2443677530,Sperrylite,0.43,uncommon,9695914099,Sylvite,0.18,ubiquitous,1682894320,Zeolites,0.19,ubiquitous,1703000539,4158612452,390000000,Yes,Yes,,,
40181041,C3J0-O VII - Moon 8,C3J0-O,U-HSM3,The Kalevala Expanse,Bitumens,0.21,ubiquitous,2489161829,Chromite,0.36,uncommon,6403903027,Coesite,0.21,ubiquitous,2700906744,Zeolites,0.22,ubiquitous,1971895361,3633714364,260000000,Yes,No,Gonnaeatit (3.14-),0MD,01-Aug
40183097,86L-9F XI - Moon 1,86L-9F,2Q-8WA,The Kalevala Expanse,Bitumens,0.16,ubiquitous,1896504250,Coesite,0.24,ubiquitous,3086750564,Sperrylite,0.42,uncommon,9470427725,Zeolites,0.18,ubiquitous,1613368931,4303674501,380000000,Yes,No,Muraku Butler(ONCBN),ONCBN,01-Aug
40181892,HVGR-R III - Moon 15,HVGR-R,XPG-HE,The Kalevala Expanse,Chromite,0.29,uncommon,5158699661,Euxenite,0.12,common,771860275.2,Vanadinite,0.25,uncommon,3600858240,Zeolites,0.34,ubiquitous,3047474648,3369346292,350000000,Yes,No,,,
40178890,N-JK02 X - Moon 2,N-JK02,6-CBBM,The Kalevala Expanse,Bitumens,0.18,ubiquitous,2133567282,Coesite,0.20,ubiquitous,2572292137,Sperrylite,0.42,uncommon,9470427725,Zeolites,0.19,ubiquitous,1703000539,4253380629,380000000,Yes,No,Gonnaeatit (3.14-),0MD,01-Aug
40179915,QZX-L9 VI - Moon 10,QZX-L9,2O-VY7,The Kalevala Expanse,Euxenite,0.10,common,643216896,Sperrylite,0.30,uncommon,6764591232,Vanadinite,0.33,uncommon,4753132877,Zeolites,0.27,ubiquitous,2420053397,3905623501,460000000,Yes,No,hugo101 m (0MD),0MD,01-Aug
40181277,V2-GZS VI - Moon 12,V2-GZS,8UD2-J,The Kalevala Expanse,Bitumens,0.18,ubiquitous,2133567282,Coesite,0.20,ubiquitous,2572292137,Sperrylite,0.41,uncommon,9244941350,Sylvite,0.21,ubiquitous,1963376707,4262726110,370000000,Yes,No,Marhiquen'x (IDSKQ),IDSKQ,01-Aug
40182546,O9K-FT VII - Moon 15,O9K-FT,P-B2NE,The Kalevala Expanse,Bitumens,0.33,ubiquitous,3911540016,Chromite,0.28,uncommon,4980813466,Euxenite,0.12,common,771860275.2,Vanadinite,0.27,uncommon,3888926899,3630305533,360000000,Yes,No,,,
40181178,G4-QU6 V - Moon 4,G4-QU6,8UD2-J,The Kalevala Expanse,Chromite,0.25,uncommon,4447154880,Euxenite,0.12,common,771860275.2,Vanadinite,0.34,uncommon,4897167206,Zeolites,0.29,ubiquitous,2599316612,3405937225,380000000,Yes,No,Marhiquen'x (IDSKQ),IDSKQ,01-Aug
40181394,42G-OB II - Moon 1,42G-OB,8UD2-J,The Kalevala Expanse,Bitumens,0.33,ubiquitous,3911540016,Euxenite,0.10,common,643216896,Sperrylite,0.32,uncommon,7215563981,Vanadinite,0.25,uncommon,3600858240,4117280125,430000000,Yes,Yes,,,
40180061,RAI-0E VII - Moon 7,RAI-0E,3NA-Z1,The Kalevala Expanse,Bitumens,0.27,ubiquitous,3200350922,Chromite,0.33,uncommon,5870244442,Euxenite,0.11,common,707538585.6,Zeolites,0.29,ubiquitous,2599316612,3315388543,240000000,Yes,No,,,
40181008,C3J0-O V - Moon 3,C3J0-O,U-HSM3,The Kalevala Expanse,Bitumens,0.30,ubiquitous,3555945469,Chromite,0.33,uncommon,5870244442,Euxenite,0.12,common,771860275.2,Sylvite,0.26,ubiquitous,2430847351,3382740412,240000000,Yes,No,Emma Mdma (BLSFC),DIMLA,01-Aug
40182167,K95-9I IX - Moon 11,K95-9I,XPG-HE,The Kalevala Expanse,Bitumens,0.23,ubiquitous,2726224860,Coesite,0.37,ubiquitous,4758740453,Sperrylite,0.40,uncommon,9019454976,,,,,4420826863,360000000,Yes,No,,,
40182294,BGMZ-0 I - Moon 1,BGMZ-0,P-B2NE,The Kalevala Expanse,Chromite,0.23,uncommon,4091382490,Sylvite,0.18,ubiquitous,1682894320,Vanadinite,0.36,uncommon,5185235866,Zeolites,0.22,ubiquitous,1971895361,3463770010,370000000,Yes,Yes,,,
40179946,D-6PKO VII - Moon 5,D-6PKO,2O-VY7,The Kalevala Expanse,Bitumens,0.21,ubiquitous,2489161829,Coesite,0.20,ubiquitous,2572292137,Otavite,0.41,uncommon,8288776742,Zeolites,0.18,ubiquitous,1613368931,4008107046,330000000,Yes,No,,,
40179193,UJXC-B VII - Moon 16,UJXC-B,6-CBBM,The Kalevala Expanse,Bitumens,0.29,ubiquitous,3437413954,Chromite,0.32,uncommon,5692358246,Euxenite,0.09,common,578895206.4,Zeolites,0.30,ubiquitous,2688948219,3320789900,230000000,Yes,No,Gonnaeatit (3.14-),0MD,01-Aug
40180412,Q-GICU XI - Moon 21,Q-GICU,3NA-Z1,The Kalevala Expanse,Coesite,0.39,ubiquitous,5015969667,Otavite,0.42,uncommon,8490942029,Zeolites,0.19,ubiquitous,1703000539,,,,,4074083634,340000000,Yes,No,,,
40180816,G-KCFT VI - Moon 6,G-KCFT,U-HSM3,The Kalevala Expanse,Coesite,0.19,ubiquitous,2443677530,Otavite,0.41,uncommon,8288776742,Sylvite,0.20,ubiquitous,1869882578,Zeolites,0.19,ubiquitous,1703000539,3831786801,330000000,Yes,No,Death Killer21 [D3CO.],D3CO.,01-Aug
40180399,Q-GICU XI - Moon 9,Q-GICU,3NA-Z1,The Kalevala Expanse,Chromite,0.35,uncommon,6226016832,Coesite,0.56,ubiquitous,7202417983,Euxenite,0.09,common,578895206.4,,,,,3751963399,250000000,Yes,No,Marhiquen'x (IDSKQ),IDSKQ,01-Aug
40183048,O5-YNW VII - Moon 1,O5-YNW,2Q-8WA,The Kalevala Expanse,Chromite,0.20,uncommon,3557723904,Coesite,0.20,ubiquitous,2572292137,Vanadinite,0.41,uncommon,5905407514,Zeolites,0.19,ubiquitous,1703000539,3679935025,380000000,Yes,No,Mikhail Yotosala (DDGRN),BULB4,01-Aug
40181607,ND-GL4 VI - Moon 4,ND-GL4,8UD2-J,The Kalevala Expanse,Coesite,0.33,ubiquitous,4244282026,Euxenite,0.08,common,514573516.8,Sperrylite,0.29,uncommon,6539104858,Vanadinite,0.30,uncommon,4321029888,4183658113,440000000,Yes,No,Contrauniversallis (D3CO.),MEREL,01-Aug
40179650,SG-3HY III - Moon 15,SG-3HY,2O-VY7,The Kalevala Expanse,Bitumens,0.29,ubiquitous,3437413954,Chromite,0.32,uncommon,5692358246,Euxenite,0.09,common,578895206.4,Sylvite,0.29,ubiquitous,2711329738,3326784949,230000000,Yes,No,,,
40182391,I2D3-5 VI - Moon 4,I2D3-5,P-B2NE,The Kalevala Expanse,Bitumens,0.54,ubiquitous,6400701845,Euxenite,0.12,common,771860275.2,Sperrylite,0.35,uncommon,7892023104,,,,,4035156757,320000000,Yes,No,Muraku Butler(ONCBN),ONCBN,01-Aug
40183023,O5-YNW VI - Moon 7,O5-YNW,2Q-8WA,The Kalevala Expanse,Bitumens,0.35,ubiquitous,4148603048,Euxenite,0.10,common,643216896,Sperrylite,0.27,uncommon,6088132109,Vanadinite,0.28,uncommon,4032961229,3994530343,410000000,Yes,No,Mikhail Yotosala (DDGRN),BULB4,01-Aug
40180116,MN9P-A VI - Moon 11,MN9P-A,3NA-Z1,The Kalevala Expanse,Euxenite,0.11,common,707538585.6,Otavite,0.31,uncommon,6267123878,Sylvite,0.34,ubiquitous,3178800382,Vanadinite,0.24,uncommon,3456823910,3645612524,390000000,Yes,No,Gonnaeatit (3.14-),0MD,01-Aug
40180938,HPV-RJ V - Moon 8,HPV-RJ,U-HSM3,The Kalevala Expanse,Coesite,0.33,ubiquitous,4244282026,Euxenite,0.09,common,578895206.4,Otavite,0.30,uncommon,6064958592,Vanadinite,0.29,uncommon,4176995558,4035303049,410000000,Yes,No,Death Killer21 [D3CO.],D3CO.,01-Aug
40180935,HPV-RJ V - Moon 5,HPV-RJ,U-HSM3,The Kalevala Expanse,Bitumens,0.56,ubiquitous,6637764876,Euxenite,0.09,common,578895206.4,Sperrylite,0.35,uncommon,7892023104,,,,,4046968711,320000000,Yes,No,,,
40180174,TA9T-P VI - Moon 8,TA9T-P,3NA-Z1,The Kalevala Expanse,Coesite,0.20,ubiquitous,2572292137,Otavite,0.38,uncommon,7682280883,Sylvite,0.42,ubiquitous,3926753414,,,,,3798569581,310000000,Yes,Yes,,,
40183011,O5-YNW V - Moon 18,O5-YNW,2Q-8WA,The Kalevala Expanse,Sperrylite,0.20,uncommon,4509727488,Sylvite,0.19,ubiquitous,1776388449,Vanadinite,0.40,uncommon,5761373184,Zeolites,0.21,ubiquitous,1882263753,3731183806,410000000,Yes,No,Mikhail Yotosala (DDGRN),BULB4,01-Aug
40180492,0S1-GI VII - Moon 5,0S1-GI,S4S-SD,The Kalevala Expanse,Euxenite,0.10,common,643216896,Otavite,0.26,uncommon,5256297446,Sylvite,0.30,ubiquitous,2804823867,Vanadinite,0.34,uncommon,4897167206,3643260379,410000000,Yes,No,Flash Meat (C1AC4),C1AC4,01-Aug
40181893,HVGR-R III - Moon 16,HVGR-R,XPG-HE,The Kalevala Expanse,Bitumens,0.24,ubiquitous,2844756376,Coesite,0.36,ubiquitous,4630125847,Otavite,0.39,uncommon,7884446170,,,,,4114105819,320000000,Yes,No,Darkfire Joringer (TACF),TACF,01-Aug
40179700,SG-3HY VI - Moon 7,SG-3HY,2O-VY7,The Kalevala Expanse,Coesite,0.21,ubiquitous,2700906744,Sperrylite,0.21,uncommon,4735213862,Vanadinite,0.34,uncommon,4897167206,Zeolites,0.24,ubiquitous,2151158575,3879762425,390000000,Yes,No,interronator Miark (0MD),MIERK,01-Aug
40183117,IUU3-L II - Moon 13,IUU3-L,2Q-8WA,The Kalevala Expanse,Coesite,0.25,ubiquitous,3215365171,Euxenite,0.11,common,707538585.6,Otavite,0.36,uncommon,7277950310,Sylvite,0.29,ubiquitous,2711329738,3726477805,290000000,Yes,No,Muraku Butler(ONCBN),ONCBN,01-Aug
40182215,R1O-GN VI - Moon 2,R1O-GN,P-B2NE,The Kalevala Expanse,Chromite,0.31,uncommon,5514472051,Coesite,0.61,ubiquitous,7845491018,Euxenite,0.08,common,514573516.8,,,,,3716393728,220000000,Yes,No,Marhiquen'x (IDSKQ),IDSKQ,01-Aug
40180549,L-GY1B VII - Moon 2,L-GY1B,S4S-SD,The Kalevala Expanse,Coesite,0.22,ubiquitous,2829521351,Otavite,0.35,uncommon,7075785024,Sylvite,0.43,ubiquitous,4020247543,,,,,3730059085,280000000,Yes,Yes,,,
40182010,K76A-3 VI - Moon 19,K76A-3,XPG-HE,The Kalevala Expanse,Coesite,0.24,ubiquitous,3086750564,Otavite,0.35,uncommon,7075785024,Sylvite,0.41,ubiquitous,3833259285,,,,,3748873627,280000000,Yes,No,Marhiquen'x (IDSKQ),IDSKQ,01-Aug
40181403,42G-OB III - Moon 5,42G-OB,8UD2-J,The Kalevala Expanse,Bitumens,0.31,ubiquitous,3674476985,Chromite,0.28,uncommon,4980813466,Coesite,0.28,ubiquitous,3601208992,Euxenite,0.13,common,836181964.8,3506968234,200000000,No,Yes,,,
40182330,I2D3-5 III - Moon 7,I2D3-5,P-B2NE,The Kalevala Expanse,Bitumens,0.21,ubiquitous,2489161829,Otavite,0.16,uncommon,3234644582,Vanadinite,0.42,uncommon,6049441843,Zeolites,0.21,ubiquitous,1882263753,3657726431,370000000,Yes,No,Muraku Butler(ONCBN),ONCBN,01-Aug
40179619,6V-D0E VI - Moon 15,6V-D0E,78-6RI,The Kalevala Expanse,Bitumens,0.32,ubiquitous,3793008501,Coesite,0.25,ubiquitous,3215365171,Euxenite,0.09,common,578895206.4,Otavite,0.34,uncommon,6873619738,3873452308,280000000,Yes,No,Axandrias Darkstar (BUSA),MTBSP,01-Aug
40181202,G4-QU6 VI - Moon 6,G4-QU6,8UD2-J,The Kalevala Expanse,Chromite,0.28,uncommon,4980813466,Coesite,0.35,ubiquitous,4501511240,Euxenite,0.10,common,643216896,Sylvite,0.27,ubiquitous,2524341480,3388361540,200000000,Yes,No,Marhiquen'x (IDSKQ),IDSKQ,01-Aug
40179421,QX-4HO IV - Moon 1,QX-4HO,78-6RI,The Kalevala Expanse,Bitumens,0.33,ubiquitous,3911540016,Euxenite,0.11,common,707538585.6,Sperrylite,0.31,uncommon,6990077606,Sylvite,0.24,ubiquitous,2243859094,3710629099,280000000,Yes,No,Muraku Butler(ONCBN),ONCBN,01-Aug
40179950,D-6PKO VII - Moon 8,D-6PKO,2O-VY7,The Kalevala Expanse,Chromite,0.28,uncommon,4980813466,Coesite,0.33,ubiquitous,4244282026,Euxenite,0.12,common,771860275.2,Sylvite,0.27,ubiquitous,2524341480,3353918905,200000000,Yes,No,laserbeam897 Boirelle (TRYHD),LSRCR,01-Aug
40182242,GQ-7SP X - Moon 4,GQ-7SP,P-B2NE,The Kalevala Expanse,Bitumens,0.27,ubiquitous,3200350922,Euxenite,0.11,common,707538585.6,Sperrylite,0.29,uncommon,6539104858,Sylvite,0.33,ubiquitous,3085306254,3624723380,260000000,Yes,Yes,,,
40178920,N-JK02 XI - Moon 4,N-JK02,6-CBBM,The Kalevala Expanse,Euxenite,0.09,common,578895206.4,Otavite,0.30,uncommon,6064958592,Sylvite,0.29,ubiquitous,2711329738,Zeolites,0.32,ubiquitous,2868211433,3274123653,240000000,Yes,No,Bergentruckung (BUSA),WANWA,01-Aug
40181170,G4-QU6 III - Moon 1,G4-QU6,8UD2-J,The Kalevala Expanse,Bitumens,0.29,ubiquitous,3437413954,Euxenite,0.11,common,707538585.6,Otavite,0.30,uncommon,6064958592,Zeolites,0.30,ubiquitous,2688948219,3455051612,240000000,Yes,No,Marhiquen'x (IDSKQ),IDSKQ,01-Aug
40182937,5-VFC6 IX - Moon 13,5-VFC6,2Q-8WA,The Kalevala Expanse,Coesite,0.33,ubiquitous,4244282026,Euxenite,0.08,common,514573516.8,Otavite,0.31,uncommon,6267123878,Zeolites,0.29,ubiquitous,2599316612,3649632866,250000000,Yes,No,Dark Genie(SQUI.),SQUI.,01-Aug
40182432,FZX-PU V - Moon 1,FZX-PU,P-B2NE,The Kalevala Expanse,Euxenite,0.08,common,514573516.8,Otavite,0.29,uncommon,5862793306,Sylvite,0.28,ubiquitous,2617835609,Zeolites,0.35,ubiquitous,3137106255,3249725541,240000000,No,Yes,,,
40180617,LE-67X V - Moon 1,LE-67X,S4S-SD,The Kalevala Expanse,Coesite,0.33,ubiquitous,4244282026,Euxenite,0.09,common,578895206.4,Sperrylite,0.29,uncommon,6539104858,Sylvite,0.29,ubiquitous,2711329738,3769717454,260000000,Yes,No,,,
40182076,K95-9I V - Moon 9,K95-9I,XPG-HE,The Kalevala Expanse,Coesite,0.27,ubiquitous,3472594385,Euxenite,0.10,common,643216896,Otavite,0.32,uncommon,6469289165,Sylvite,0.30,ubiquitous,2804823867,3586586869,260000000,No,Yes,,,
40179275,UDVW-O V - Moon 12,UDVW-O,6-CBBM,The Kalevala Expanse,Euxenite,0.09,common,578895206.4,Otavite,0.27,uncommon,5458462733,Sylvite,0.37,ubiquitous,3459282769,Zeolites,0.27,ubiquitous,2420053397,3191971635,220000000,Yes,No,sweetnjuicy (TACF),TACF,01-Aug
40179770,AU2V-J VII - Moon 7,AU2V-J,2O-VY7,The Kalevala Expanse,Euxenite,0.10,common,643216896,Otavite,0.25,uncommon,5054132160,Zeolites,0.65,ubiquitous,5826054474,,,,,3086625946,200000000,Yes,No,laserbeam897 Boirelle (TRYHD),LSRCR,01-Aug
